n,baseline,20pct_egg_subsidy,20pct_cash_transfer,egg_subsidy_pct,cash_transfer_pct
Energy,25106.168748412,25676.137110892425,29380.473044183498,2.2702323408722913,17.024916619513487
Protein,740.4205001609218,763.6492547411169,860.5462938886184,3.1372381741384237,16.223996188866806
Vitamin A,9080.022261506318,9783.094405325663,11237.096922506857,7.743066300618406,23.75627062221204
Vitamin D,66.25554966046876,72.54498495911125,80.27754563178468,9.49269205504013,21.163504103690368
Vitamin E,27.030913284683876,28.621524019926163,30.74999282712882,5.884413591543547,13.758615934564933
Vitamin C,226.55431615578914,232.78578029739464,295.7880310012469,2.75053869965578,30.559433172683192
Vitamin B-6,12.879455896859056,13.324172237626893,14.984050818265146,3.4529124858162064,16.340712979337436
Vitamin B-12,89.43644801258891,96.20374744315257,107.87958000906923,7.566601291691621,20.62149426359632
Calcium,3521.0180612561944,3647.1962242723976,4235.99901442698,3.583570456641927,20.306085931172447
Magnesium,2933.0213168740734,2980.1408259742752,3269.2666503639034,1.6065177852311097,11.464128526968587
Iron,131.612545879344,137.15802124521892,151.7980752083543,4.213485370124781,15.337085985340204
Zinc,115.04668163621164,118.06151438771242,133.29546154497262,2.6205299523839987,15.862065423551574
