n,baseline,after_20pct_subsidy,absolute_change,pct_change
Energy,25106.168748412,25676.137110892425,569.9683624804238,2.270232340872301
Protein,740.4205001609218,763.6492547411169,23.228754580195073,3.1372381741384214
Vitamin A,9080.022261506318,9783.094405325663,703.072143819345,7.7430663006184055
Vitamin D,66.25554966046876,72.54498495911125,6.289435298642488,9.492692055040134
Vitamin E,27.030913284683876,28.621524019926163,1.5906107352422865,5.884413591543541
Vitamin C,226.55431615578914,232.78578029739464,6.2314641416055,2.7505386996557855
Vitamin B-6,12.879455896859056,13.324172237626893,0.4447163407678367,3.452912485816196
Vitamin B-12,89.43644801258891,96.20374744315257,6.767299430563654,7.566601291691616
Calcium,3521.0180612561944,3647.1962242723976,126.17816301620314,3.5835704566419215
Magnesium,2933.0213168740734,2980.1408259742752,47.11950910020187,1.6065177852311157
Iron,131.612545879344,137.15802124521892,5.545475365874921,4.213485370124778
Zinc,115.04668163621164,118.06151438771242,3.0148327515007765,2.620529952383989
