j,baseline_quantity,after_20pct_subsidy_quantity,absolute_change,pct_change
Beef,1.1764581042823312,1.1974710616869697,0.021012957404638488,1.7861203325601567
Bread,1.0630344677291552,1.0706044656054747,0.007569997876319512,0.7121121756748372
Coconuts,1.480004308580216,1.5114826885283026,0.031478379948086666,2.1269113721894644
Eggs,0.8281943707558596,0.9068123119888906,0.07861794123303101,9.492692055040122
Maize (flour),1.0000000000021136,1.000000000002175,6.128431095930864e-14,6.128431095917911e-12
Plantains,1.1454341543425792,1.1516440633601994,0.0062099090176201965,0.5421445653665153
Rice (husked),1.6256089471823703,1.6533701151898197,0.027761168007449433,1.707739616933532
Salt,0.8741289297851074,0.8815128391310209,0.007383909345913486,0.8447162763196407
Soft drinks,1.4116951537999132,1.4511396894140773,0.03944453561416417,2.794125594891349
Sugar,1.0603840607247046,1.0838631154010083,0.023479054676303734,2.214202904960426
Sweets,0.15567528984851695,0.16175926004220093,0.00608397019368398,3.908115539469438
Tea (dry),0.37448959432523615,0.38156797105109885,0.007078376725862701,1.8901397617246696
